null,0
(33.7297, -118.2805),8
(33.7297, -118.2814),93
(33.7297, -118.2836),46
(33.7297, -118.2857),36
(33.7297, -118.288),104
(33.7297, -118.2885),3
(33.7297, -118.2902),73
(33.7297, -118.2919),50
(33.7297, -118.2924),42
(33.7297, -118.2946),10
(33.7297, -118.3012),17
(33.7297, -118.3034),15
(33.7298, -118.3056),16
(33.7298, -118.3097),15
(33.7298, -118.3119),4
(33.7299, -118.3083),15
(33.7301, -118.28),3
(33.7302, -118.2691),3
(33.7302, -118.2751),6
(33.7303, -118.276),2
(33.7304, -118.276),2
(33.7305, -118.3074),9
(33.7305, -118.309),1
(33.7306, -118.2805),51
(33.7306, -118.2814),126
(33.7306, -118.2836),67
(33.7306, -118.2857),61
(33.7306, -118.2879),119
(33.7306, -118.2891),1
(33.7306, -118.2902),67
(33.7306, -118.2914),1
(33.7306, -118.2924),114
(33.7306, -118.2946),116
(33.7306, -118.299),213
(33.7306, -118.3012),24
(33.7306, -118.3015),22
(33.7307, -118.3034),29
(33.7307, -118.3056),10
(33.7307, -118.3092),1
(33.7307, -118.3097),18
(33.7307, -118.3119),6
(33.7307, -118.3132),1
(33.7309, -118.28),4
(33.7311, -118.3097),19
(33.7312, -118.2757),2
(33.7313, -118.3084),2
(33.7315, -118.2805),48
(33.7315, -118.2812),1
(33.7315, -118.2814),102
(33.7315, -118.2836),61
(33.7315, -118.2857),66
(33.7315, -118.2879),130
(33.7315, -118.2902),109
(33.7315, -118.2924),86
(33.7315, -118.2946),28
(33.7315, -118.2957),3
(33.7315, -118.2968),48
(33.7315, -118.2971),2
(33.7315, -118.299),47
(33.7315, -118.3012),48
(33.7315, -118.3015),1
(33.7315, -118.3141),9
(33.7316, -118.3034),21
(33.7316, -118.3056),27
(33.7316, -118.3078),6
(33.7316, -118.3097),11
(33.7316, -118.3103),1
(33.7316, -118.3119),9
(33.7316, -118.3129),7
(33.7318, -118.28),3
(33.7319, -118.3097),6
(33.732, -118.2758),5
(33.732, -118.299),1
(33.7321, -118.295),136
(33.7321, -118.3078),1
(33.7321, -118.3146),6
(33.7321, -118.3182),1
(33.7322, -118.2792),3
(33.7322, -118.3096),15
(33.7324, -118.2805),14
(33.7324, -118.2814),59
(33.7324, -118.2836),54
(33.7324, -118.2857),91
(33.7324, -118.2879),150
(33.7324, -118.2902),91
(33.7324, -118.2924),162
(33.7324, -118.2946),44
(33.7324, -118.3129),4
(33.7324, -118.3139),3
(33.7325, -118.2968),32
(33.7325, -118.299),48
(33.7325, -118.3012),50
(33.7325, -118.3034),31
(33.7325, -118.3056),26
(33.7325, -118.3059),1
(33.7325, -118.3078),10
(33.7325, -118.3119),18
(33.7326, -118.2765),7
(33.7326, -118.305),92
(33.7327, -118.28),3
(33.7328, -118.3152),3
(33.7329, -118.3045),4
(33.7329, -118.3088),1
(33.7329, -118.3136),43
(33.7329, -118.318),1
(33.7331, -118.2636),2
(33.7332, -118.2775),19
(33.7332, -118.3034),14
(33.7333, -118.2805),36
(33.7333, -118.2814),109
(33.7333, -118.2836),89
(33.7333, -118.2857),94
(33.7333, -118.2879),78
(33.7333, -118.3129),8
(33.7333, -118.3137),5
(33.7334, -118.2902),88
(33.7334, -118.2924),182
(33.7334, -118.2946),43
(33.7334, -118.2968),46
(33.7334, -118.299),50
(33.7334, -118.3012),24
(33.7334, -118.3056),34
(33.7334, -118.3059),1
(33.7334, -118.3078),10
(33.7334, -118.3119),4
(33.7335, -118.27),7
(33.7335, -118.3093),5
(33.7336, -118.3154),3
(33.7339, -118.3034),10
(33.7339, -118.3096),10
(33.7339, -118.315),5
(33.7341, -118.2791),2
(33.7342, -118.2805),11
(33.7342, -118.2814),178
(33.7342, -118.2836),143
(33.7342, -118.2857),82
(33.7342, -118.2879),123
(33.7342, -118.2902),75
(33.7342, -118.3096),2
(33.7342, -118.3143),6
(33.7343, -118.2782),139
(33.7343, -118.2924),85
(33.7343, -118.2946),77
(33.7343, -118.2968),54
(33.7343, -118.299),26
(33.7343, -118.3056),13
(33.7343, -118.3119),2
(33.7343, -118.3131),7
(33.7344, -118.2799),1
(33.7344, -118.3067),4
(33.7344, -118.3078),2
(33.7345, -118.2776),2
(33.7345, -118.279),21
(33.7345, -118.3012),69
(33.7345, -118.3156),3
(33.7346, -118.3093),5
(33.7347, -118.2842),184
(33.7347, -118.2879),3
(33.7347, -118.299),3
(33.735, -118.3158),9
(33.7351, -118.2705),11
(33.7351, -118.2804),15
(33.7351, -118.2814),146
(33.7351, -118.2835),96
(33.7351, -118.2857),55
(33.7352, -118.2879),159
(33.7352, -118.2901),112
(33.7352, -118.2923),80
(33.7352, -118.2924),2
(33.7352, -118.2946),61
(33.7352, -118.2968),72
(33.7352, -118.299),30
(33.7352, -118.3012),45
(33.7352, -118.3034),26
(33.7352, -118.3056),20
(33.7352, -118.3097),8
(33.7352, -118.3119),11
(33.7352, -118.3137),6
(33.7352, -118.3149),4
(33.7353, -118.2411),1
(33.7353, -118.2654),5
(33.7353, -118.2789),54
(33.7353, -118.299),61
(33.7353, -118.3012),1
(33.7353, -118.3164),6
(33.7354, -118.3077),9
(33.7354, -118.309),2
(33.7356, -118.2835),2
(33.7358, -118.3158),3
(33.736, -118.2804),95
(33.736, -118.2814),81
(33.736, -118.2835),156
(33.736, -118.2857),60
(33.7361, -118.2857),3
(33.7361, -118.2879),129
(33.7361, -118.2901),99
(33.7361, -118.2923),222
(33.7361, -118.2946),57
(33.7361, -118.2968),70
(33.7361, -118.2973),2
(33.7361, -118.299),83
(33.7361, -118.3012),48
(33.7361, -118.3019),3
(33.7361, -118.3031),2
(33.7361, -118.3034),53
(33.7361, -118.3056),50
(33.7361, -118.3077),31
(33.7361, -118.3087),3
(33.7361, -118.3097),25
(33.7362, -118.314),2
(33.7363, -118.312),3
(33.7363, -118.315),10
(33.7363, -118.3158),2
(33.7363, -118.3166),9
(33.7365, -118.2804),1
(33.7365, -118.2923),62
(33.7365, -118.3108),5
(33.7367, -118.271),2
(33.7368, -118.265),10
(33.7368, -118.3119),22
(33.7369, -118.2804),22
(33.7369, -118.2814),66
(33.7369, -118.2835),102
(33.737, -118.2654),1
